number,name,hp,type,image
001,Bulbasaur,60,Grass,images/bulbasaur.png
002,Ivysaur,80,Grass,images/ivysaur.png
003,Venusaur,110,Grass,images/venusaur.png
004,Charmander,50,Fire,images/charmander.png
005,Charmeleon,75,Fire,images/charmeleon.png
006,Charizard,110,Fire,images/charizard.png
007,Squirtle,60,Water,images/squirtle.png
008,Wartortle,80,Water,images/wartortle.png
009,Blastoise,110,Water,images/blastoise.png
010,Caterpie,40,Bug,images/caterpie.png
011,Metapod,60,Bug,images/metapod.png
012,Butterfree,80,Bug,images/butterfree.png
013,Weedle,40,Bug,images/weedle.png
014,Kakuna,60,Bug,images/kakuna.png
015,Beedrill,80,Bug,images/beedrill.png
016,Pidgey,45,Normal,images/pidgey.png
017,Pidgeotto,65,Normal,images/pidgeotto.png
018,Pidgeot,95,Normal,images/pidgeot.png
019,Rattata,40,Normal,images/rattata.png
020,Raticate,70,Normal,images/raticate.png
021,Spearow,45,Normal,images/spearow.png
022,Fearow,80,Normal,images/fearow.png
023,Ekans,50,Poison,images/ekans.png
024,Arbok,85,Poison,images/arbok.png
025,Pikachu,60,Electric,images/pikachu.png
026,Raichu,90,Electric,images/raichu.png
027,Sandshrew,55,Ground,images/sandshrew.png
028,Sandslash,90,Ground,images/sandslash.png
029,Nidoran♀,50,Poison,images/nidoran-f.png
030,Nidorina,70,Poison,images/nidorina.png
031,Nidoqueen,105,Poison,images/nidoqueen.png
032,Nidoran♂,50,Poison,images/nidoran-m.png
033,Nidorino,70,Poison,images/nidorino.png
034,Nidoking,105,Poison,images/nidoking.png
035,Clefairy,60,Fairy,images/clefairy.png
036,Clefable,95,Fairy,images/clefable.png
037,Vulpix,50,Fire,images/vulpix.png
038,Ninetales,90,Fire,images/ninetales.png
039,Jigglypuff,70,Normal,images/jigglypuff.png
040,Wigglytuff,105,Normal,images/wigglytuff.png
041,Zubat,45,Poison,images/zubat.png
042,Golbat,80,Poison,images/golbat.png
043,Oddish,50,Grass,images/oddish.png
044,Gloom,70,Grass,images/gloom.png
045,Vileplume,100,Grass,images/vileplume.png
046,Paras,45,Bug,images/paras.png
047,Parasect,80,Bug,images/parasect.png
048,Venonat,50,Bug,images/venonat.png
049,Venomoth,85,Bug,images/venomoth.png
050,Diglett,40,Ground,images/diglett.png
051,Dugtrio,80,Ground,images/dugtrio.png
052,Meowth,50,Normal,images/meowth.png
053,Persian,85,Normal,images/persian.png
054,Psyduck,55,Water,images/psyduck.png
055,Golduck,90,Water,images/golduck.png
056,Mankey,50,Fighting,images/mankey.png
057,Primeape,90,Fighting,images/primeape.png
058,Growlithe,60,Fire,images/growlithe.png
059,Arcanine,110,Fire,images/arcanine.png
060,Poliwag,50,Water,images/poliwag.png
061,Poliwhirl,70,Water,images/poliwhirl.png
062,Poliwrath,105,Water,images/poliwrath.png
063,Abra,40,Psychic,images/abra.png
064,Kadabra,65,Psychic,images/kadabra.png
065,Alakazam,95,Psychic,images/alakazam.png
066,Machop,55,Fighting,images/machop.png
067,Machoke,80,Fighting,images/machoke.png
068,Machamp,110,Fighting,images/machamp.png
069,Bellsprout,50,Grass,images/bellsprout.png
070,Weepinbell,70,Grass,images/weepinbell.png
071,Victreebel,100,Grass,images/victreebel.png
072,Tentacool,50,Water,images/tentacool.png
073,Tentacruel,95,Water,images/tentacruel.png
074,Geodude,55,Rock,images/geodude.png
075,Graveler,80,Rock,images/graveler.png
076,Golem,110,Rock,images/golem.png
077,Ponyta,55,Fire,images/ponyta.png
078,Rapidash,95,Fire,images/rapidash.png
079,Slowpoke,60,Water,images/slowpoke.png
080,Slowbro,100,Water,images/slowbro.png
081,Magnemite,50,Electric,images/magnemite.png
082,Magneton,90,Electric,images/magneton.png
083,Farfetch’d,70,Normal,images/farfetchd.png
084,Doduo,55,Normal,images/doduo.png
085,Dodrio,90,Normal,images/dodrio.png
086,Seel,60,Water,images/seel.png
087,Dewgong,95,Water,images/dewgong.png
088,Grimer,60,Poison,images/grimer.png
089,Muk,100,Poison,images/muk.png
090,Shellder,50,Water,images/shellder.png
091,Cloyster,95,Water,images/cloyster.png
092,Gastly,45,Ghost,images/gastly.png
093,Haunter,70,Ghost,images/haunter.png
094,Gengar,100,Ghost,images/gengar.png
095,Onix,100,Rock,images/onix.png
096,Drowzee,55,Psychic,images/drowzee.png
097,Hypno,90,Psychic,images/hypno.png
098,Krabby,50,Water,images/krabby.png
099,Kingler,90,Water,images/kingler.png
100,Voltorb,55,Electric,images/voltorb.png
